Date,Day,Lecture_Number,Start_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled,Students_Present,Attendance_Pct,Session_Type,Test_Week,Assignment_Due,Holiday_Near,Day_of_Semester,Week_Number,Month,Day_of_Month,Is_Weekend,Time_of_Day,Lecture_DateTime,Prev_Lecture_Pct,Rolling_3_Avg,Rolling_7_Avg,Monthly_Avg_Attendance,Consecutive_Lecture_Count,Gap_Hours,Attendance_Risk,Attendance_Risk_Code
2026-01-07,Wednesday,6,03:00 PM,Cloud Computing,Ishwari Gaikwad,4,MBA,A,Room 202,120,113,94.17,Theory,0,0,0,3,1,1,7,0,Afternoon,2026-01-07 15:00:00,82.5,89.16666666666667,86.27,81.22666666666667,5,1.0,SAFE,2
2026-01-08,Thursday,1,09:00 AM,Financial Management,Akash Upadhayay,4,MBA,A,Auditorium,120,89,74.17,Theory,1,1,0,4,1,1,8,0,Morning,2026-01-08 09:00:00,94.17,88.89,87.81857142857143,82.2223076923077,1,18.0,WARNING,1
2026-01-09,Friday,1,09:00 AM,Web Development,Prof. Deshmukh,2,MBA,A,Room 201,120,87,72.5,Theory,0,0,0,5,1,1,9,0,Morning,2026-01-09 09:00:00,74.17,83.61333333333333,87.10428571428572,81.64714285714285,1,24.0,WARNING,1
2026-01-09,Friday,2,10:00 AM,Advanced DBMS,Prof. Sharma,2,MBA,A,Lab 2,120,115,95.83,Practical,0,0,0,5,1,1,9,0,Morning,2026-01-09 10:00:00,72.5,80.28,85.47714285714285,81.03733333333334,2,1.0,SAFE,2
2026-01-09,Friday,3,11:15 AM,HR Analytics,Prof. Patil,4,MBA,A,Room 202,120,97,80.83,Theory,0,0,0,5,1,1,9,0,Morning,2026-01-09 11:15:00,95.83,80.83333333333333,86.30999999999999,81.961875,3,1.25,SAFE,2
2026-01-09,Friday,5,02:00 PM,Cloud Computing,Prof. Kulkarni,4,MBA,A,Auditorium,120,103,85.83,Theory,0,1,0,5,1,1,9,0,Afternoon,2026-01-09 14:00:00,80.83,83.05333333333333,84.28571428571429,81.89529411764705,4,2.75,SAFE,2
2026-01-09,Friday,6,03:00 PM,Python Programming,Prof. Patil,2,MBA,A,Lab 1,120,107,89.17,Practical,0,0,0,5,1,1,9,0,Afternoon,2026-01-09 15:00:00,85.83,87.49666666666667,83.68999999999998,82.11388888888888,5,1.0,SAFE,2
2026-01-10,Saturday,2,10:00 AM,Machine Learning,Prof. Deshmukh,2,MBA,A,Room 202,120,98,81.67,Theory,0,0,0,6,1,1,10,1,Morning,2026-01-10 10:00:00,89.17,85.27666666666667,84.64285714285714,82.48526315789474,1,19.0,SAFE,2
2026-01-10,Saturday,2,10:00 AM,Advanced DBMS,Prof. Kulkarni,2,MBA,A,Room 201,120,97,80.83,Theory,0,0,0,6,1,1,10,1,Morning,2026-01-10 10:00:00,81.67,85.55666666666667,82.85714285714286,82.4445,2,24.0,SAFE,2
2026-01-10,Saturday,3,11:15 AM,Advanced DBMS,Ishwari Gaikwad,4,MBA,A,Room 201,120,95,79.17,Theory,0,0,0,6,1,1,10,1,Morning,2026-01-10 11:15:00,80.83,83.89,83.80857142857143,82.36761904761904,3,1.25,SAFE,2
2026-01-10,Saturday,4,12:15 PM,Advanced DBMS,Prof. Deshmukh,2,MBA,A,Room 201,120,89,74.17,Theory,0,0,0,6,1,1,10,1,Afternoon,2026-01-10 12:15:00,79.17,80.55666666666667,84.76142857142858,82.22227272727274,4,1.0,WARNING,1
2026-01-10,Saturday,6,03:00 PM,Cloud Computing,Prof. Sharma,2,MBA,A,Lab 1,120,102,85.0,Practical,0,0,0,6,1,1,10,1,Afternoon,2026-01-10 15:00:00,74.17,78.05666666666666,81.66714285714286,81.87217391304348,5,2.75,SAFE,2
2026-01-11,Monday,3,11:15 AM,Python Programming,Prof. Patil,4,MBA,A,Room 201,120,86,71.67,Theory,0,0,0,7,1,1,11,0,Morning,2026-01-11 11:15:00,85.0,79.44666666666667,82.26285714285713,82.0025,1,20.25,WARNING,1
2026-01-12,Monday,2,10:00 AM,Advanced DBMS,Ishwari Gaikwad,4,MBA,A,Lab 1,120,98,81.67,Practical,0,0,0,8,2,1,12,0,Morning,2026-01-12 10:00:00,71.67,76.94666666666667,80.24,81.5892,1,22.75,SAFE,2
2026-01-12,Monday,2,10:00 AM,Advanced DBMS,Prof. Kulkarni,4,MBA,A,Lab 1,120,94,78.33,Practical,0,0,0,8,2,1,12,0,Morning,2026-01-12 10:00:00,81.67,79.44666666666667,79.16857142857144,81.5923076923077,2,24.0,SAFE,2
2026-01-12,Monday,3,11:15 AM,Web Development,Akash Upadhayay,2,MBA,A,Room 201,120,90,75.0,Theory,0,0,0,8,2,1,12,0,Morning,2026-01-12 11:15:00,78.33,77.22333333333334,78.69142857142857,81.47148148148148,3,1.25,WARNING,1
2026-01-12,Monday,3,11:15 AM,Python Programming,Ishwari Gaikwad,2,MBA,A,Lab 2,120,90,75.0,Practical,0,0,1,8,2,1,12,0,Morning,2026-01-12 11:15:00,75.0,78.33333333333333,77.85857142857142,81.24035714285715,4,24.0,WARNING,1
2026-01-12,Monday,4,12:15 PM,Python Programming,Prof. Deshmukh,4,MBA,A,Lab 2,120,120,100.0,Practical,0,0,0,8,2,1,12,0,Afternoon,2026-01-12 12:15:00,75.0,76.11,77.26285714285714,81.0251724137931,5,1.0,SAFE,2
2026-01-12,Monday,5,02:00 PM,HR Analytics,Ishwari Gaikwad,2,MBA,A,Lab 1,120,77,64.17,Practical,1,0,0,8,2,1,12,0,Afternoon,2026-01-12 14:00:00,100.0,83.33333333333333,80.95285714285714,81.65766666666667,6,1.75,WARNING,1
2026-01-13,Tuesday,2,10:00 AM,Financial Management,Prof. Patil,4,MBA,A,Lab 1,120,107,89.17,Practical,0,0,0,9,2,1,13,0,Morning,2026-01-13 10:00:00,64.17,79.72333333333334,77.97714285714287,81.09354838709677,1,20.0,SAFE,2
2026-01-13,Tuesday,3,11:15 AM,Machine Learning,Prof. Kulkarni,2,MBA,A,Lab 1,120,112,93.33,Practical,0,1,0,9,2,1,13,0,Morning,2026-01-13 11:15:00,89.17,84.44666666666667,80.47714285714287,81.3459375,2,1.25,SAFE,2
2026-01-13,Tuesday,6,03:00 PM,Financial Management,Prof. Patil,2,MBA,A,Room 202,120,87,72.5,Theory,1,1,0,9,2,1,13,0,Afternoon,2026-01-13 15:00:00,93.33,82.22333333333334,82.14285714285714,81.70909090909092,3,3.75,WARNING,1
2026-01-14,Wednesday,2,10:00 AM,Web Development,Prof. Deshmukh,2,MBA,A,Room 202,120,87,72.5,Theory,0,0,0,10,2,1,14,0,Morning,2026-01-14 10:00:00,72.5,85.0,81.30999999999999,81.43823529411765,1,19.0,WARNING,1
2026-01-14,Wednesday,4,12:15 PM,Machine Learning,Prof. Kulkarni,4,MBA,A,Lab 2,120,87,72.5,Practical,0,0,0,10,2,1,14,0,Afternoon,2026-01-14 12:15:00,72.5,79.44333333333333,80.95285714285714,81.18285714285715,2,2.25,WARNING,1
2026-01-15,Thursday,4,12:15 PM,Web Development,Prof. Kulkarni,2,MBA,A,Lab 1,120,107,89.17,Practical,0,0,0,11,2,1,15,0,Afternoon,2026-01-15 12:15:00,72.5,72.5,80.59571428571428,80.94166666666666,1,24.0,SAFE,2
2026-01-16,Friday,1,09:00 AM,HR Analytics,Prof. Deshmukh,4,MBA,A,Room 201,120,93,77.78,Theory,0,0,0,12,2,1,16,0,Morning,2026-01-16 09:00:00,89.17,78.05666666666667,79.04857142857144,81.16405405405406,1,20.75,SAFE,2
2026-01-16,Friday,1,09:00 AM,Financial Management,Prof. Kulkarni,4,MBA,A,Lab 2,120,94,78.33,Practical,0,0,0,12,2,1,16,0,Morning,2026-01-16 09:00:00,77.78,79.81666666666666,80.99285714285715,81.075,2,24.0,SAFE,2
2026-01-16,Friday,2,10:00 AM,Web Development,Prof. Deshmukh,2,MBA,A,Auditorium,120,96,80.0,Theory,0,0,0,12,2,1,16,0,Morning,2026-01-16 10:00:00,78.33,81.76,79.44428571428571,81.00461538461538,3,1.0,SAFE,2
2026-01-16,Friday,2,10:00 AM,Financial Management,Prof. Patil,2,MBA,A,Auditorium,120,59,49.17,Theory,1,1,1,12,2,1,16,0,Morning,2026-01-16 10:00:00,80.0,78.70333333333333,77.53999999999999,80.9795,4,24.0,CRITICAL,0
2026-01-16,Friday,2,10:00 AM,Web Development,Prof. Patil,4,MBA,A,Room 201,120,108,90.0,Theory,0,0,0,12,2,1,16,0,Morning,2026-01-16 10:00:00,49.17,69.16666666666667,74.20714285714284,80.20365853658537,5,24.0,SAFE,2
2026-01-16,Friday,3,11:15 AM,Advanced DBMS,Prof. Kulkarni,4,MBA,A,Auditorium,120,96,80.0,Theory,1,0,0,12,2,1,16,0,Morning,2026-01-16 11:15:00,90.0,73.05666666666667,76.70714285714284,80.43690476190476,6,1.25,SAFE,2
2026-01-16,Friday,4,12:15 PM,Advanced DBMS,Ishwari Gaikwad,2,MBA,A,Room 202,120,107,89.17,Theory,0,0,0,12,2,1,16,0,Afternoon,2026-01-16 12:15:00,80.0,73.05666666666667,77.77857142857142,80.4267441860465,7,1.0,SAFE,2
2026-01-16,Friday,4,12:15 PM,HR Analytics,Prof. Deshmukh,4,MBA,A,Auditorium,120,110,91.67,Theory,0,0,0,12,2,1,16,0,Afternoon,2026-01-16 12:15:00,89.17,86.38999999999999,77.77857142857144,80.62545454545455,8,24.0,SAFE,2
2026-01-16,Friday,5,02:00 PM,HR Analytics,Prof. Patil,2,MBA,A,Auditorium,120,95,79.17,Theory,0,0,0,12,2,1,16,0,Afternoon,2026-01-16 14:00:00,91.67,86.94666666666666,79.76285714285714,80.87088888888889,9,1.75,SAFE,2
2026-01-17,Saturday,1,09:00 AM,Cloud Computing,Prof. Patil,2,MBA,A,Room 202,120,100,83.33,Theory,0,1,0,13,2,1,17,1,Morning,2026-01-17 09:00:00,79.17,86.67,79.88285714285715,80.83391304347826,1,19.0,SAFE,2
2026-01-17,Saturday,2,10:00 AM,Advanced DBMS,Ishwari Gaikwad,2,MBA,A,Lab 2,120,96,80.0,Practical,0,1,0,13,2,1,17,1,Morning,2026-01-17 10:00:00,83.33,84.72333333333334,80.35857142857142,80.88702127659575,2,1.0,SAFE,2
2026-01-17,Saturday,3,11:15 AM,Machine Learning,Ishwari Gaikwad,2,MBA,A,Auditorium,120,82,68.33,Theory,1,1,0,13,2,1,17,1,Morning,2026-01-17 11:15:00,80.0,80.83333333333333,84.76285714285714,80.86854166666667,3,1.25,WARNING,1
2026-01-18,Monday,2,10:00 AM,Machine Learning,Akash Upadhayay,4,MBA,A,Room 202,120,95,79.17,Theory,0,0,0,14,2,1,18,0,Morning,2026-01-18 10:00:00,68.33,77.22,81.66714285714285,80.61265306122449,1,22.75,SAFE,2
2026-01-18,Monday,4,12:15 PM,Financial Management,Ishwari Gaikwad,4,MBA,A,Room 201,120,98,81.67,Theory,0,0,0,14,2,1,18,0,Afternoon,2026-01-18 12:15:00,79.17,75.83333333333333,81.54857142857144,80.5838,2,2.25,SAFE,2
2026-01-18,Monday,5,02:00 PM,Web Development,Prof. Patil,2,MBA,A,Lab 1,120,104,86.67,Practical,0,1,0,14,2,1,18,0,Afternoon,2026-01-18 14:00:00,81.67,76.39,80.47714285714287,80.60509803921568,3,1.75,SAFE,2
2026-01-18,Monday,6,03:00 PM,HR Analytics,Ishwari Gaikwad,4,MBA,A,Room 202,120,90,75.0,Theory,0,1,0,14,2,1,18,0,Afternoon,2026-01-18 15:00:00,86.67,82.50333333333333,79.76285714285714,80.72173076923076,4,1.0,WARNING,1
2026-01-19,Monday,2,10:00 AM,Web Development,Prof. Deshmukh,2,MBA,A,Lab 1,120,95,79.17,Practical,0,0,0,15,3,1,19,0,Morning,2026-01-19 10:00:00,75.0,81.11333333333333,79.16714285714285,80.61377358490566,1,19.0,SAFE,2
2026-01-19,Monday,6,03:00 PM,Web Development,Ishwari Gaikwad,4,MBA,A,Room 201,120,86,71.67,Theory,0,0,0,15,3,1,19,0,Afternoon,2026-01-19 15:00:00,79.17,80.28,78.57285714285715,80.58703703703704,2,5.0,WARNING,1
2026-01-20,Tuesday,3,11:15 AM,Cloud Computing,Prof. Deshmukh,4,MBA,A,Lab 2,120,97,80.83,Practical,0,0,0,16,3,1,20,0,Morning,2026-01-20 11:15:00,71.67,75.28000000000002,77.38285714285715,80.42490909090908,1,20.25,SAFE,2
2026-01-20,Tuesday,4,12:15 PM,Financial Management,Akash Upadhayay,2,MBA,A,Room 201,120,116,96.67,Theory,0,1,0,16,3,1,20,0,Afternoon,2026-01-20 12:15:00,80.83,77.22333333333334,79.16857142857143,80.43214285714285,2,1.0,SAFE,2
2026-01-20,Tuesday,5,02:00 PM,Cloud Computing,Ishwari Gaikwad,2,MBA,A,Room 201,120,93,77.5,Theory,1,0,0,16,3,1,20,0,Afternoon,2026-01-20 14:00:00,96.67,83.05666666666667,81.66857142857144,80.71701754385964,3,1.75,SAFE,2
2026-01-21,Wednesday,2,10:00 AM,Web Development,Prof. Deshmukh,4,MBA,A,Room 201,120,86,71.67,Theory,0,0,0,17,3,1,21,0,Morning,2026-01-21 10:00:00,77.5,85.0,81.07285714285715,80.66155172413792,1,20.0,WARNING,1
2026-01-21,Wednesday,4,12:15 PM,Advanced DBMS,Prof. Sharma,2,MBA,A,Lab 1,120,117,97.5,Practical,0,0,0,17,3,1,21,0,Afternoon,2026-01-21 12:15:00,71.67,81.94666666666667,78.92999999999999,80.50915254237287,2,2.25,SAFE,2
2026-01-21,Wednesday,5,02:00 PM,Cloud Computing,Prof. Patil,2,MBA,A,Lab 1,120,117,97.5,Practical,0,1,0,17,3,1,21,0,Afternoon,2026-01-21 14:00:00,97.5,82.22333333333334,82.14428571428572,80.79233333333333,3,1.75,SAFE,2
2026-01-22,Thursday,2,10:00 AM,Python Programming,Prof. Patil,4,MBA,A,Room 201,120,94,78.33,Theory,0,1,0,18,3,1,22,0,Morning,2026-01-22 10:00:00,97.5,88.89,84.76285714285714,81.06622950819673,1,20.0,SAFE,2
2026-01-23,Friday,1,09:00 AM,Advanced DBMS,Akash Upadhayay,2,MBA,A,Room 202,120,87,72.5,Theory,0,0,0,19,3,1,23,0,Morning,2026-01-23 09:00:00,78.33,91.11,85.71428571428571,81.02209677419354,1,23.0,WARNING,1
2026-01-23,Friday,1,09:00 AM,Cloud Computing,Prof. Patil,2,MBA,A,Lab 1,120,102,85.0,Practical,0,0,0,19,3,1,23,0,Morning,2026-01-23 09:00:00,72.5,82.77666666666666,84.52428571428572,80.8868253968254,2,24.0,SAFE,2
2026-01-23,Friday,1,09:00 AM,Python Programming,Prof. Deshmukh,4,MBA,A,Room 201,120,99,82.5,Theory,0,0,0,19,3,1,23,0,Morning,2026-01-23 09:00:00,85.0,78.61,82.85714285714286,80.95109375,3,24.0,SAFE,2
2026-01-23,Friday,4,12:15 PM,Machine Learning,Prof. Kulkarni,4,MBA,A,Room 202,120,95,79.17,Theory,0,0,0,19,3,1,23,0,Afternoon,2026-01-23 12:15:00,82.5,80.0,83.57142857142857,80.97492307692308,4,3.25,SAFE,2
2026-01-24,Saturday,3,11:15 AM,Financial Management,Prof. Sharma,4,MBA,A,Lab 2,120,101,84.17,Practical,1,0,0,20,3,1,24,1,Morning,2026-01-24 11:15:00,79.17,82.22333333333334,84.64285714285714,80.94757575757576,1,23.0,SAFE,2
2026-01-24,Saturday,4,12:15 PM,Machine Learning,Prof. Patil,4,MBA,A,Auditorium,120,94,78.33,Theory,0,0,0,20,3,1,24,1,Afternoon,2026-01-24 12:15:00,84.17,81.94666666666667,82.73857142857142,80.99567164179105,2,1.0,SAFE,2
2026-01-25,Monday,2,10:00 AM,Python Programming,Prof. Patil,2,MBA,A,Room 201,120,120,100.0,Theory,0,0,1,21,3,1,25,0,Morning,2026-01-25 10:00:00,78.33,80.55666666666667,80.0,80.95647058823529,1,21.75,SAFE,2
2026-01-25,Monday,3,11:15 AM,Python Programming,Akash Upadhayay,4,MBA,A,Room 202,120,86,71.67,Theory,0,0,0,21,3,1,25,0,Morning,2026-01-25 11:15:00,100.0,87.5,83.0957142857143,81.23246376811593,2,1.25,WARNING,1
2026-01-25,Monday,6,03:00 PM,Financial Management,Ishwari Gaikwad,4,MBA,A,Lab 1,120,102,85.0,Practical,0,0,0,21,3,1,25,0,Afternoon,2026-01-25 15:00:00,71.67,83.33333333333333,82.97714285714287,81.09585714285714,3,3.75,SAFE,2
2026-01-26,Monday,1,09:00 AM,Financial Management,Prof. Sharma,2,MBA,A,Lab 1,120,71,59.17,Practical,0,0,0,22,4,1,26,0,Morning,2026-01-26 09:00:00,85.0,85.55666666666667,82.97714285714287,81.15084507042253,1,18.0,WARNING,1
2026-01-26,Monday,2,10:00 AM,Python Programming,Ishwari Gaikwad,2,MBA,A,Lab 1,120,100,83.33,Practical,0,0,0,22,4,1,26,0,Morning,2026-01-26 10:00:00,59.17,71.94666666666667,79.64428571428572,80.84555555555556,2,1.0,SAFE,2
2026-01-26,Monday,5,02:00 PM,Web Development,Prof. Sharma,2,MBA,A,Room 201,120,93,77.5,Theory,0,0,0,22,4,1,26,0,Afternoon,2026-01-26 14:00:00,83.33,75.83333333333333,80.23857142857142,80.8795890410959,3,4.0,SAFE,2
2026-01-26,Monday,5,02:00 PM,Web Development,Ishwari Gaikwad,2,MBA,A,Lab 2,120,68,56.67,Practical,0,0,1,22,4,1,26,0,Afternoon,2026-01-26 14:00:00,77.5,73.33333333333333,79.28571428571429,80.83391891891893,4,24.0,WARNING,1
2026-01-26,Monday,6,03:00 PM,Python Programming,Prof. Deshmukh,4,MBA,A,Lab 1,120,91,75.83,Practical,0,0,0,22,4,1,26,0,Afternoon,2026-01-26 15:00:00,56.67,72.5,76.19142857142857,80.51173333333334,5,1.0,SAFE,2
2026-01-27,Tuesday,1,09:00 AM,Financial Management,Prof. Patil,4,MBA,A,Auditorium,120,89,74.17,Theory,0,1,0,23,4,1,27,0,Morning,2026-01-27 09:00:00,75.83,70.0,72.73857142857143,80.45013157894736,1,18.0,WARNING,1
2026-01-27,Tuesday,6,03:00 PM,Cloud Computing,Prof. Patil,4,MBA,A,Lab 2,120,97,80.83,Practical,0,0,0,23,4,1,27,0,Afternoon,2026-01-27 15:00:00,74.17,68.89,73.09571428571428,80.36857142857143,2,6.0,SAFE,2
2026-01-27,Tuesday,6,03:00 PM,Python Programming,Akash Upadhayay,4,MBA,A,Room 202,120,76,63.33,Theory,0,1,0,23,4,1,27,0,Afternoon,2026-01-27 15:00:00,80.83,76.94333333333333,72.5,80.37448717948718,3,24.0,WARNING,1
2026-01-28,Wednesday,3,11:15 AM,Machine Learning,Prof. Patil,4,MBA,A,Auditorium,120,100,83.33,Theory,0,1,0,24,4,1,28,0,Morning,2026-01-28 11:15:00,63.33,72.77666666666667,73.09428571428572,80.1587341772152,1,20.25,SAFE,2
2026-01-28,Wednesday,4,12:15 PM,HR Analytics,Ishwari Gaikwad,4,MBA,A,Room 201,120,100,83.33,Theory,0,1,0,24,4,1,28,0,Afternoon,2026-01-28 12:15:00,83.33,75.83,73.0942857142857,80.198375,2,1.0,SAFE,2
2026-01-28,Wednesday,6,03:00 PM,Advanced DBMS,Prof. Patil,4,MBA,A,Room 201,120,88,73.33,Theory,0,1,0,24,4,1,28,0,Afternoon,2026-01-28 15:00:00,83.33,76.66333333333334,73.92714285714285,80.23703703703704,3,2.75,WARNING,1
2026-01-29,Thursday,6,03:00 PM,Web Development,Prof. Patil,4,MBA,A,Lab 1,120,120,100.0,Practical,1,0,0,25,4,1,29,0,Afternoon,2026-01-29 15:00:00,73.33,79.99666666666667,76.30714285714285,80.15280487804878,1,24.0,SAFE,2
2026-01-29,Thursday,6,03:00 PM,Advanced DBMS,Prof. Patil,4,MBA,A,Lab 2,120,101,84.17,Practical,0,0,0,25,4,1,29,0,Afternoon,2026-01-29 15:00:00,100.0,85.55333333333334,79.75999999999999,80.39192771084338,2,24.0,SAFE,2
2026-01-30,Friday,2,10:00 AM,Cloud Computing,Prof. Sharma,4,MBA,A,Lab 1,120,116,96.67,Practical,0,1,0,26,4,1,30,0,Morning,2026-01-30 10:00:00,84.17,85.83333333333333,81.18857142857144,80.43690476190476,1,19.0,SAFE,2
2026-01-30,Friday,5,02:00 PM,Cloud Computing,Akash Upadhayay,2,MBA,A,Lab 2,120,101,84.17,Practical,1,0,0,26,4,1,30,0,Afternoon,2026-01-30 14:00:00,96.67,93.61333333333334,83.45142857142856,80.62788235294117,2,4.0,SAFE,2
2026-01-30,Friday,5,02:00 PM,Advanced DBMS,Prof. Kulkarni,2,MBA,A,Auditorium,120,90,75.0,Theory,0,1,1,26,4,1,30,0,Afternoon,2026-01-30 14:00:00,84.17,88.33666666666666,86.42857142857143,80.66906976744185,3,24.0,WARNING,1
2026-01-30,Friday,6,03:00 PM,Python Programming,Akash Upadhayay,4,MBA,A,Room 202,120,97,80.83,Theory,0,0,0,26,4,1,30,0,Afternoon,2026-01-30 15:00:00,75.0,85.28,85.23857142857143,80.60390804597701,4,1.0,SAFE,2
2026-01-30,Friday,6,03:00 PM,Web Development,Prof. Sharma,2,MBA,A,Room 201,120,75,62.5,Theory,0,0,1,26,4,1,30,0,Afternoon,2026-01-30 15:00:00,80.83,80.0,84.88142857142857,80.60647727272728,5,24.0,WARNING,1
2026-01-31,Saturday,4,12:15 PM,Cloud Computing,Prof. Patil,4,MBA,A,Room 202,120,61,50.83,Theory,0,0,1,27,4,1,31,1,Afternoon,2026-01-31 12:15:00,62.5,72.77666666666666,83.33428571428571,80.40303370786516,1,21.25,WARNING,1
2026-01-31,Saturday,5,02:00 PM,Machine Learning,Akash Upadhayay,4,MBA,A,Room 202,120,95,79.17,Theory,0,0,1,27,4,1,31,1,Afternoon,2026-01-31 14:00:00,50.83,64.72,76.30999999999999,80.07444444444444,2,1.75,SAFE,2
2026-02-01,Monday,1,09:00 AM,Cloud Computing,Akash Upadhayay,2,MBA,A,Lab 1,120,87,72.5,Practical,0,0,1,28,4,2,1,0,Morning,2026-02-01 09:00:00,79.17,64.16666666666667,75.5957142857143,78.9210138888889,1,19.0,WARNING,1
2026-02-01,Monday,4,12:15 PM,HR Analytics,Prof. Kulkarni,2,MBA,A,Room 202,120,85,70.83,Theory,0,0,0,28,4,2,1,0,Afternoon,2026-02-01 12:15:00,72.5,67.5,72.14285714285714,72.5,2,3.25,WARNING,1
2026-02-01,Monday,5,02:00 PM,Machine Learning,Prof. Deshmukh,2,MBA,A,Lab 2,120,110,91.67,Practical,0,0,0,28,4,2,1,0,Afternoon,2026-02-01 14:00:00,70.83,74.16666666666667,70.23714285714286,71.66499999999999,3,1.75,SAFE,2
2026-02-01,Monday,6,03:00 PM,Machine Learning,Prof. Sharma,2,MBA,A,Auditorium,120,72,60.0,Theory,0,0,0,28,4,2,1,0,Afternoon,2026-02-01 15:00:00,91.67,78.33333333333333,72.61857142857143,78.33333333333333,4,1.0,WARNING,1
2026-02-02,Monday,1,09:00 AM,Advanced DBMS,Prof. Sharma,2,MBA,A,Room 201,120,69,57.5,Theory,1,0,0,29,5,2,2,0,Morning,2026-02-02 09:00:00,60.0,74.16666666666667,69.64285714285714,73.75,1,18.0,WARNING,1
2026-02-02,Monday,3,11:15 AM,Python Programming,Prof. Patil,2,MBA,A,Room 201,120,87,72.5,Theory,1,0,0,29,5,2,2,0,Morning,2026-02-02 11:15:00,57.5,69.72333333333334,68.92857142857143,70.5,2,2.25,WARNING,1
2026-02-02,Monday,4,12:15 PM,Web Development,Prof. Patil,2,MBA,A,Room 202,120,82,68.33,Theory,1,0,0,29,5,2,2,0,Afternoon,2026-02-02 12:15:00,72.5,63.333333333333336,72.02428571428571,70.83333333333333,3,1.0,WARNING,1
2026-02-02,Monday,4,12:15 PM,Machine Learning,Prof. Patil,2,MBA,A,Room 201,120,94,78.33,Theory,0,1,0,29,5,2,2,0,Afternoon,2026-02-02 12:15:00,68.33,66.11,70.47571428571429,70.47571428571429,4,24.0,SAFE,2
